    137 | Vcenter-platform             | CHECK_POWERSTATUS         | OK            | STOPPED
    137 | Vcenter-platform             | CHECK_BOOT_STATUS         | OK            | UNKNOWN
      6 | 1WH8Q22-sPar-1444892583277   | POLL_SPAR_SEL             | OK            | /usr/local/ffm/nagios/etc/seekfiles/172.29.1.253-seekfile ........Total records:0 Time taken :1444892541 
      6 | 1WH8Q22-sPar-1444892583277   | CHECK_SPAR_STATUS         | OK            | UNKNOWN sPar is not reachable
      2 | localhost                    | CHECK_LOCAL_CPU           | OK            | 1
    134 | sles111444891930737          | CHECK_PARTITION_STATUS    | OK            | DISABLED
    132 | sles11_1444048617            | CHECK_PARTITION_STATUS    | OK            | STOPPED
      7 | sles11_1444048492            | CHECK_PARTITION_STATUS    | OK            | STOPPED
    131 | 2581                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    130 | 2580                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    129 | 2579                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    128 | 2578                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    127 | 2577                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    126 | 2576                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    125 | 2575                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    124 | 2574                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    123 | 2573                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    122 | 2572                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    121 | 2571                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    120 | 2570                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    119 | 2569                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    118 | 2568                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    117 | 2567                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    116 | 2566                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    115 | 2565                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    114 | 2564                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
    113 | 2563                         | CHECK_SECUREFABRIC_HEALTH | OK            | OK
